data_package	quaesitor_results
329	Pontederia cordata var. lancifolia
329	Pontederia rotundifolia
329	Pontederia sagittata
329	San diego
329	Taxa are
329	Taxon philydrum subsp. lanuginosum
329	This character
383	Afrotheria ferungulata
383	Altungulata anagalida
383	Anagalida afrotheria
383	Artiodactyla hyracoidea
383	Elephantulus rufescens
383	Equus are
383	Equus asinus
383	Equus caballus
383	Hyracoidea insectivora
383	Insectivora lagomorpha
383	Lagomorpha macroscelidea
383	Macroscelidea perissodactylaa
383	Macroscelides proboscideus
383	One factor
383	Orycteropus afer
383	Orycteropus orycteropus
383	Paenungulata tethytheria
383	Primates proboscidea
383	Proboscidea rodentia
383	Rodentia sirenia
383	Tethytheria ungulata
383	This data
454	An obvious
454	Data characterbased
454	Doctor arroyo
454	El diamante
454	New mexico
454	One character
454	Our emphasis subsp. on
454	Pinal de
454	Sceloporus cyanogenys
454	Sceloporus cyanostictus
454	Sceloporus dugesii
454	Sceloporus grammicus
454	Sceloporus insignis
454	Sceloporus jarrovii
454	Sceloporus jarrovii subsp. are
454	Sceloporus jarrovii subsp. cyanostictus
454	Sceloporus jarrovii subsp. erythrocyaneus
454	Sceloporus jarrovii subsp. immucronatus
454	Sceloporus jarrovii subsp. jarrovii
454	Sceloporus jarrovii subsp. minor
454	Sceloporus jarrovii subsp. oberon
454	Sceloporus jarrovii subsp. or
454	Sceloporus jarrovii subsp. sugillatus
454	Sceloporus lineolateralis
454	Sceloporus lineolateralisa subsp. taxon
454	Sceloporus minor
454	Sceloporus mucronatus
454	Sceloporus oberon
454	Sceloporus ornatus
454	Sceloporus poinsettii
454	Sceloporus sugillatus
454	Sceloporus torquatus
454	This hypothesis
454	This may
505	Carangidae are
505	Caranx are
505	Caranx ignobilis
505	Caranx ignobilis subsp. clades
505	Caranx ignobilis subsp. or
505	Caranx melampygus
505	Caranx melampygus subsp. are
505	Caranx melampygus subsp. clades
505	Caranx melampygus subsp. may
505	Caranx sexfasciatus
505	Caranx species
505	Epinephelus quernus
505	Gnathanodon speciosus
505	Hawaii hawaiian
505	Hawaiian caranx
505	Jack species
505	Kaneohe bay
505	Molokai hawaii
505	Oahu maui
505	Robert santos
505	Robert takeuchi
505	S. tokunaga
634	Acheilognathus tabira
634	Aegean sea
634	Anodonta anatina
634	Anodonta anatina subsp. or
634	Anodonta cygnea
634	Anodonta species
634	Asia minor
634	Cuculus canorus
634	Cuculus pallidus
634	Europe are
634	Heteronetta atricapilla
634	Molothrus ater
634	Rhodeus amarus
634	Rhodeus sinensis
634	Synodontis multipunctatus
634	Tanganyika are
634	Unio crassus
634	Unio pictorum
634	Unio species
634	Unio tumidus
716	Al mi
716	An lu subsp. bo
716	Bi bo subsp. lo
716	Bo lo subsp. bi
716	Bo lo subsp. lu
716	Bo polli
716	Ca la
716	Ca rau
716	La ca
716	Lo bi
716	Lo costa
716	Lo lu
716	Loci are
716	Lu bo subsp. lo
716	Ma al subsp. mi
716	Ma bi subsp. bo
716	Ma pi subsp. so
716	Monte carlo
716	Na ti
716	Pi ma subsp. bi
716	Pi so subsp. ca
716	Pi so subsp. za
716	Ro an
716	Ro an subsp. lu
716	Salmo cenerinus
716	Salmo labrax
716	Salmo marmoratus
716	Salmo rhodanensis
716	Salmo salar
716	Salmo trutta
716	So ca
716	So pi
716	So pi subsp. ma
716	So rhodanensis
716	So trutta
716	So za subsp. ca
716	Ti za
716	Za ca subsp. la
716	Za ti
808	Agardhiella species
808	Alinda jugularis
808	Alinda viridiana
808	Alopia livida
808	Alopia or
808	Chondrina arcadica
808	Clausilia pumila
808	Cochlodina cerata
808	Discus cameron
808	Discus ruderatus
808	Europe are
808	Fauna europaea
808	Graciliaria inserta
808	Here mixed
808	Laciniaria exalta
808	Monachoides incarnata
808	Monte carlo
808	No variable
808	Orcula jetschini
808	Picea abies
808	Romania or
808	Schistophallus oscari
808	Sea or
808	Species species
808	Succinella oblonga
808	Vertigo angustior
808	Vitrea subcarinata
808	Zonitoides nitidus
884	Acromyrmex echinatior
884	Cardiocondyla kagutsuchi
884	Discussion this
884	Formica exsecta
884	Formica selysi
884	Leptothorax acervorum
884	Leptothorax humile
884	Linepithema humile
884	Pachycondyla sp.
884	Pheidole pallidula
884	Pogonomyrmex lineages
884	Sex invicta
884	Sex ratio
884	Solenopsis xyloni
884	This may
884	Wasmannia auropunctata
946	Addis ababa
946	Afar ethiopia
946	Ethiopia rift
946	Hymenochirus curtipes
946	J. evans
946	Main ethiopia
946	Mediator complex
946	Monte carlo
946	Nigeria tanzania
946	P. kounhiensis
946	P. obscura
946	Silurana tropicalis
946	Sudan eritrea
946	This post
946	Xenopus amieti
946	Xenopus andrei
946	Xenopus are
946	Xenopus borealis
946	Xenopus boumbaensis
946	Xenopus clivii
946	Xenopus clivii subsp. are
946	Xenopus clivii subsp. on
946	Xenopus fraseri
946	Xenopus gilli
946	Xenopus itombwensis
946	Xenopus laevis
946	Xenopus largeni
946	Xenopus largeni subsp. are
946	Xenopus largeni subsp. loci
946	Xenopus lenduensis
946	Xenopus lenduensis subsp. or
946	Xenopus longipes
946	Xenopus muelleri
946	Xenopus pygmaeus
946	Xenopus ruwenzoriensis
946	Xenopus species
946	Xenopus vestitus
946	Xenopus wittei
1005	Africa are
1005	Africa hypothesis
1005	Africa or
1005	Africa prior
1005	African nile subsp. crocodile
1005	African origin
1005	African taxa
1005	Australasia by
1005	Australasia mississippiensis
1005	Australasia sinensis
1005	Beringia by
1005	Caiman crocodilus
1005	Caiman niloticus
1005	Caiman species
1005	Caiman yacare
1005	Crocodylus anthropophagus
1005	Crocodylus are
1005	Crocodylus by
1005	Crocodylus do
1005	Crocodylus johnstoni
1005	Crocodylus may
1005	Crocodylus mindorensis
1005	Crocodylus niloticus
1005	Crocodylus niloticus subsp. are
1005	Crocodylus novaeguineae
1005	Crocodylus palustris
1005	Crocodylus porosus
1005	Crocodylus porosus subsp. may
1005	Crocodylus siamensis
1005	Crocodylus siamensis subsp. are
1005	Crocodylus sp.
1005	Crocodylus species
1005	Gavialis gangeticus
1005	Mecistops cataphractus
1005	Melanosuchus niger
1005	Monte carlo
1005	Multiple species
1005	Na na
1005	Nile crocodile
1005	Northern africa
1005	Osteolaemus tetraspis
1005	Osteolaemus tetraspis subsp. osborni
1005	Philippine crocodile
1005	True crocodiles
1076	Arabidopsis gray
1076	Arabidopsis thaliana
1076	Baja california
1076	Cupulata origin
1076	Glycine max
1076	Ismael calzada
1076	Lineariloba origin
1076	Lineariloba reina
1076	Lineariloba via
1146	Gray mouse subsp. lemur
1146	Monte carlo
1146	One may
1146	Santa cruz
1146	So far
1146	This means
1224	Ci sex
1224	Loci on
1224	On an
