	data_package	true_positives	false_positives	false_negatives	returned_results	annotator_results	precision	recall	F1	total_words
133	939	11	2	0	13	11	0.8461538461538461	1.0	0.9166666666666666	6616
134	946	32	4	2	36	34	0.8888888888888888	0.9411764705882353	0.9142857142857143	9783
135	949	6	5	0	11	6	0.5454545454545454	1.0	0.7058823529411764	5425
136	956	10	2	1	12	11	0.8333333333333334	0.9090909090909091	0.8695652173913043	7424
137	962	4	0	0	4	4	1.0	1.0	1.0	10249
138	966	6	1	0	7	6	0.8571428571428571	1.0	0.923076923076923	7594
139	972	20	6	2	26	22	0.7692307692307693	0.9090909090909091	0.8333333333333333	9638
140	978	3	1	0	4	3	0.75	1.0	0.8571428571428571	4666
141	982	6	1	0	7	6	0.8571428571428571	1.0	0.923076923076923	8945
142	988	0	1	0	1	0	NULL	NULL	NULL	5187
143	999	7	3	0	10	7	0.7	1.0	0.8235294117647058	8767
144	1005	36	3	30	39	66	0.9230769230769231	0.5454545454545454	0.6857142857142856	7038
145	1011	48	1	13	49	61	0.9795918367346939	0.7868852459016393	0.8727272727272727	3139
146	1027	6	1	0	7	6	0.8571428571428571	1.0	0.923076923076923	6680
147	1031	5	0	1	5	6	1.0	0.8333333333333334	0.9090909090909091	6539
148	1038	15	3	8	18	23	0.8333333333333334	0.6521739130434783	0.7317073170731708	10443
149	1044	41	8	6	49	47	0.8367346938775511	0.8723404255319149	0.8541666666666667	6919
150	1048	40	2	2	42	42	0.9523809523809523	0.9523809523809523	0.9523809523809523	6346
151	1054	0	0	0	0	0	NULL	NULL	NULL	10172
152	1060	28	0	4	28	32	1.0	0.875	0.9333333333333333	5793
153	1070	23	5	2	28	25	0.8214285714285714	0.92	0.8679245283018867	6143
154	1076	38	4	9	42	47	0.9047619047619048	0.8085106382978723	0.853932584269663	7771
155	1080	4	0	1	4	5	1.0	0.8	0.888888888888889	4269
156	1087	8	2	2	10	10	0.8	0.8	0.8000000000000002	7354
157	1093	4	3	1	7	5	0.5714285714285714	0.8	0.6666666666666666	3439
158	1097	2	0	0	2	2	1.0	1.0	1.0	4042
159	1103	50	2	3	52	53	0.9615384615384616	0.9433962264150944	0.9523809523809524	4505
160	1109	10	3	6	13	16	0.7692307692307693	0.625	0.6896551724137931	8331
161	1113	9	0	1	9	10	1.0	0.9	0.9473684210526316	3439
162	1119	8	1	2	9	10	0.8888888888888888	0.8	0.8421052631578948	14371
163	1142	9	1	10	10	19	0.9	0.47368421052631576	0.6206896551724138	4596
164	1146	0	1	1	1	1	0.0	0.0	NULL	8324
165	1158	8	4	4	12	12	0.6666666666666666	0.6666666666666666	0.6666666666666666	8615
166	1175	3	1	64	4	67	0.75	0.04477611940298507	0.08450704225352113	7710
167	1179	14	2	4	16	18	0.875	0.7777777777777778	0.823529411764706	4145
168	1185	8	4	2	12	10	0.6666666666666666	0.8	0.7272727272727272	5736
169	1191	5	3	9	8	14	0.625	0.35714285714285715	0.45454545454545453	6594
170	1195	1	1	0	2	1	0.5	1.0	0.6666666666666666	6769
171	1201	8	0	2	8	10	1.0	0.8	0.888888888888889	9217
172	1207	5	2	0	7	5	0.7142857142857143	1.0	0.8333333333333333	6047
173	1218	25	3	40	28	65	0.8928571428571429	0.38461538461538464	0.5376344086021506	8959
174	1224	0	0	0	0	0	NULL	NULL	NULL	5266
175	1228	43	1	6	44	49	0.9772727272727273	0.8775510204081632	0.9247311827956989	8482
176	1234	6	4	3	10	9	0.6	0.6666666666666666	0.631578947368421	8720
177	1250	4	1	0	5	4	0.8	1.0	0.888888888888889	6264
178	1257	27	78	169	105	196	0.2571428571428571	0.1377551020408163	0.17940199335548168	9268
179	1261	4	1	0	5	4	0.8	1.0	0.888888888888889	5902
180	1273	4	0	0	4	4	1.0	1.0	1.0	9302
181	1277	13	3	3	16	16	0.8125	0.8125	0.8125	6407
182	1283	0	0	0	0	0	NULL	NULL	NULL	4125
183	1292	20	4	4	24	24	0.8333333333333334	0.8333333333333334	0.8333333333333334	8074
184	1293	18	2	3	20	21	0.9	0.8571428571428571	0.8780487804878048	5655
185	1310	36	7	9	43	45	0.8372093023255814	0.8	0.8181818181818183	7824
186	1316	3	3	0	6	3	0.5	1.0	0.6666666666666666	6944
187	1326	41	11	4	52	45	0.7884615384615384	0.9111111111111111	0.845360824742268	7849
188	1332	91	17	59	108	150	0.8425925925925926	0.6066666666666667	0.7054263565891473	14625
189	1338	2	1	0	3	2	0.6666666666666666	1.0	0.8	6923
190	1349	5	3	1	8	6	0.625	0.8333333333333334	0.7142857142857143	7320
191	1359	44	4	166	48	210	0.9166666666666666	0.20952380952380953	0.34108527131782945	5824
192	1365	19	0	0	19	19	1.0	1.0	1.0	8545
193	1371	17	5	2	22	19	0.7727272727272727	0.8947368421052632	0.8292682926829269	7643
194	1375	4	0	0	4	4	1.0	1.0	1.0	7019
195	1381	3	0	2	3	5	1.0	0.6	0.7499999999999999	3461
196	1388	3	0	0	3	3	1.0	1.0	1.0	6944
197	1392	8	1	2	9	10	0.8888888888888888	0.8	0.8421052631578948	10183
198	1398	10	3	6	13	16	0.7692307692307693	0.625	0.6896551724137931	5099
199	1404	6	6	3	12	9	0.5	0.6666666666666666	0.5714285714285715	5799
200	1414	9	2	0	11	9	0.8181818181818182	1.0	0.9	7455
201	1420	12	2	4	14	16	0.8571428571428571	0.75	0.7999999999999999	8571
202	1431	3	0	0	3	3	1.0	1.0	1.0	3824
203	1437	11	1	1	12	12	0.9166666666666666	0.9166666666666666	0.9166666666666666	2992
204	1441	6	3	2	9	8	0.6666666666666666	0.75	0.7058823529411765	8055
205	1447	12	0	1	12	13	1.0	0.9230769230769231	0.9600000000000001	5351
206	1453	0	0	0	0	0	NULL	NULL	NULL	5148
207	1457	14	4	5	18	19	0.7777777777777778	0.7368421052631579	0.7567567567567567	7594
208	1463	52	3	4	55	56	0.9454545454545454	0.9285714285714286	0.9369369369369368	5996
209	1469	12	2	0	14	12	0.8571428571428571	1.0	0.923076923076923	3317
210	1473	10	0	2	10	12	1.0	0.8333333333333334	0.9090909090909091	2839
211	1480	48	1	4	49	52	0.9795918367346939	0.9230769230769231	0.9504950495049506	6711
212	1502	5	0	0	5	5	1.0	1.0	1.0	3769
213	1508	8	1	0	9	8	0.8888888888888888	1.0	0.9411764705882353	8205
214	1519	3	2	0	5	3	0.6	1.0	0.7499999999999999	7782
