	data_package	true_positives	false_positives	false_negatives	returned_results	annotator_results	precision	recall	F1	total_words
0	2	104	4	2	108	106	0.9629629629629629	0.9811320754716981	0.9719626168224299	7020
1	12	0	1	0	1	0	NULL	NULL	NULL	6530
2	18	5	0	47	5	52	1.0	0.09615384615384616	0.17543859649122806	3037
3	22	147	2	4	149	151	0.9865771812080537	0.9735099337748344	0.98	9253
4	29	137	4	0	141	137	0.9716312056737588	1.0	0.9856115107913669	8673
5	39	55	8	3	63	58	0.873015873015873	0.9482758620689655	0.9090909090909091	9714
6	45	15	4	2	19	17	0.7894736842105263	0.8823529411764706	0.8333333333333333	7521
7	51	46	6	63	52	109	0.8846153846153846	0.42201834862385323	0.5714285714285714	11858
8	56	2	0	0	2	2	1.0	1.0	1.0	5143
9	61	3	0	0	3	3	1.0	1.0	1.0	2569
10	67	1	1	0	2	1	0.5	1.0	0.6666666666666666	7144
11	78	21	4	3	25	24	0.84	0.875	0.8571428571428572	5315
12	84	6	3	7	9	13	0.6666666666666666	0.46153846153846156	0.5454545454545455	5425
13	88	3	3	25	6	28	0.5	0.10714285714285714	0.17647058823529413	5324
14	94	57	4	5	61	62	0.9344262295081968	0.9193548387096774	0.9268292682926829	7060
15	100	97	6	31	103	128	0.941747572815534	0.7578125	0.8398268398268398	7888
16	104	11	3	2	14	13	0.7857142857142857	0.8461538461538461	0.8148148148148148	9477
17	110	48	7	6	55	54	0.8727272727272727	0.8888888888888888	0.8807339449541284	7931
18	117	5	1	0	6	5	0.8333333333333334	1.0	0.9090909090909091	6421
19	121	25	5	4	30	29	0.8333333333333334	0.8620689655172413	0.847457627118644	7468
20	127	12	2	4	14	16	0.8571428571428571	0.75	0.7999999999999999	7379
21	137	16	2	8	18	24	0.8888888888888888	0.6666666666666666	0.761904761904762	3090
22	143	18	1	6	19	24	0.9473684210526315	0.75	0.8372093023255814	3816
23	149	8	3	2	11	10	0.7272727272727273	0.8	0.761904761904762	8113
24	153	202	28	4	230	206	0.8782608695652174	0.9805825242718447	0.926605504587156	14729
25	160	2	1	0	3	2	0.6666666666666666	1.0	0.8	5218
26	166	0	1	0	1	0	NULL	NULL	NULL	3710
27	170	3468	10	59	3478	3527	0.9971247843588269	0.9832719024666856	0.9901498929336188	16803
28	176	3	0	0	3	3	1.0	1.0	1.0	2308
29	182	17	5	3	22	20	0.7727272727272727	0.85	0.8095238095238095	10647
30	186	16	12	60	28	76	0.5714285714285714	0.21052631578947367	0.3076923076923077	4034
31	192	1	0	1	1	2	1.0	0.5	0.6666666666666666	1356
32	198	41	2	1	43	42	0.9534883720930233	0.9761904761904762	0.9647058823529412	6054
33	202	2	2	0	4	2	0.5	1.0	0.6666666666666666	9998
34	209	31	8	1	39	32	0.7948717948717948	0.96875	0.8732394366197183	8800
35	215	99	7	33	106	132	0.9339622641509434	0.75	0.8319327731092436	8569
36	219	5	2	0	7	5	0.7142857142857143	1.0	0.8333333333333333	7976
37	225	10	8	2	18	12	0.5555555555555556	0.8333333333333334	0.6666666666666667	10292
38	231	3	0	6	3	9	1.0	0.3333333333333333	0.5	2316
39	241	128	6	7	134	135	0.9552238805970149	0.9481481481481482	0.9516728624535316	9334
40	252	25	8	7	33	32	0.7575757575757576	0.78125	0.7692307692307692	7857
41	258	23	4	56	27	79	0.8518518518518519	0.2911392405063291	0.4339622641509434	5794
42	264	3	5	0	8	3	0.375	1.0	0.5454545454545454	4984
43	268	14	1	2	15	16	0.9333333333333333	0.875	0.9032258064516129	7578
44	269	8	0	0	8	8	1.0	1.0	1.0	7446
45	274	40	0	1	40	41	1.0	0.975609756097561	0.9876543209876543	10674
46	280	3	0	0	3	3	1.0	1.0	1.0	7985
47	284	6	0	0	6	6	1.0	1.0	1.0	7637
48	291	11	1	2	12	13	0.9166666666666666	0.8461538461538461	0.8799999999999999	3316
49	297	36	3	5	39	41	0.9230769230769231	0.8780487804878049	0.9	8972
50	301	10	1	1	11	11	0.9090909090909091	0.9090909090909091	0.9090909090909091	7396
51	304	2	1	0	3	2	0.6666666666666666	1.0	0.8	8401
52	307	19	5	12	24	31	0.7916666666666666	0.6129032258064516	0.6909090909090909	8662
53	313	13	4	3	17	16	0.7647058823529411	0.8125	0.787878787878788	9558
54	317	20	3	2	23	22	0.8695652173913043	0.9090909090909091	0.888888888888889	2561
55	320	5	0	0	5	5	1.0	1.0	1.0	6729
56	323	11	4	0	15	11	0.7333333333333333	1.0	0.846153846153846	7950
57	329	35	6	19	41	54	0.8536585365853658	0.6481481481481481	0.7368421052631579	10267
58	333	22	22	8	44	30	0.5	0.7333333333333333	0.5945945945945945	8041
59	340	109	9	20	118	129	0.923728813559322	0.8449612403100775	0.8825910931174089	13524
60	346	41	10	7	51	48	0.803921568627451	0.8541666666666666	0.8282828282828283	9456
61	350	6	0	5	6	11	1.0	0.5454545454545454	0.7058823529411764	7840
62	356	18	5	1	23	19	0.782608695652174	0.9473684210526315	0.8571428571428571	8143
63	362	3	0	0	3	3	1.0	1.0	1.0	8281
64	366	6	5	1	11	7	0.5454545454545454	0.8571428571428571	0.6666666666666665	12956
65	379	94	1	28	95	122	0.9894736842105263	0.7704918032786885	0.8663594470046082	9903
66	383	32	4	10	36	42	0.8888888888888888	0.7619047619047619	0.8205128205128205	4219
67	385	2	1	6	3	8	0.6666666666666666	0.25	0.36363636363636365	5861
68	389	0	1	0	1	0	NULL	NULL	NULL	7455
69	399	0	1	0	1	0	NULL	NULL	NULL	2970
70	405	57	5	15	62	72	0.9193548387096774	0.7916666666666666	0.8507462686567164	7838
71	415	4	3	0	7	4	0.5714285714285714	1.0	0.7272727272727273	6805
72	422	20	17	31	37	51	0.5405405405405406	0.39215686274509803	0.4545454545454546	10004
73	432	34	8	4	42	38	0.8095238095238095	0.8947368421052632	0.8500000000000001	19770
74	438	35	7	8	42	43	0.8333333333333334	0.813953488372093	0.8235294117647058	9658
75	448	21	8	13	29	34	0.7241379310344828	0.6176470588235294	0.6666666666666667	5949
76	454	16	2	19	18	35	0.8888888888888888	0.45714285714285713	0.6037735849056604	11997
77	456	51	7	5	58	56	0.8793103448275862	0.9107142857142857	0.8947368421052632	5320
78	457	110	7	114	117	224	0.9401709401709402	0.49107142857142855	0.6451612903225806	14638
79	464	5	0	0	5	5	1.0	1.0	1.0	7733
80	471	2	0	0	2	2	1.0	1.0	1.0	3161
81	481	16	5	2	21	18	0.7619047619047619	0.8888888888888888	0.8205128205128205	10621
82	483	2	1	3	3	5	0.6666666666666666	0.4	0.5	9465
83	487	243	17	20	260	263	0.9346153846153846	0.9239543726235742	0.9292543021032504	11327
84	497	5	2	1	7	6	0.7142857142857143	0.8333333333333334	0.7692307692307692	6446
85	503	5	1	0	6	5	0.8333333333333334	1.0	0.9090909090909091	6275
86	505	9	2	0	11	9	0.8181818181818182	1.0	0.9	4813
87	514	8	3	0	11	8	0.7272727272727273	1.0	0.8421052631578948	6928
88	520	7	1	0	8	7	0.875	1.0	0.9333333333333333	7110
89	530	9	4	3	13	12	0.6923076923076923	0.75	0.7199999999999999	7082
90	536	27	11	6	38	33	0.7105263157894737	0.8181818181818182	0.7605633802816901	9506
91	553	15	1	0	16	15	0.9375	1.0	0.967741935483871	10729
92	563	30	1	2	31	32	0.967741935483871	0.9375	0.9523809523809523	10824
93	579	0	0	0	0	0	NULL	NULL	NULL	794
94	585	8	1	1	9	9	0.8888888888888888	0.8888888888888888	0.8888888888888888	7528
95	602	14	3	0	17	14	0.8235294117647058	1.0	0.9032258064516129	5310
96	612	23	1	140	24	163	0.9583333333333334	0.1411042944785276	0.24598930481283424	4736
97	634	25	1	1	26	26	0.9615384615384616	0.9615384615384616	0.9615384615384616	6909
98	645	34	4	4	38	38	0.8947368421052632	0.8947368421052632	0.8947368421052632	6692
99	651	9	3	1	12	10	0.75	0.9	0.8181818181818182	9266
100	667	26	1	1	27	27	0.9629629629629629	0.9629629629629629	0.9629629629629629	8823
101	677	4	6	1	10	5	0.4	0.8	0.5333333333333333	6074
102	684	42	4	19	46	61	0.9130434782608695	0.6885245901639344	0.7850467289719626	9163
103	700	6	3	1	9	7	0.6666666666666666	0.8571428571428571	0.75	6035
104	710	8	0	0	8	8	1.0	1.0	1.0	7139
105	716	8	0	0	8	8	1.0	1.0	1.0	9157
106	726	4	7	1	11	5	0.36363636363636365	0.8	0.5000000000000001	8507
107	733	19	0	4	19	23	1.0	0.8260869565217391	0.9047619047619047	5251
108	743	47	10	4	57	51	0.8245614035087719	0.9215686274509803	0.8703703703703703	7582
109	749	5	0	3	5	8	1.0	0.625	0.7692307692307693	1875
110	759	18	1	1	19	19	0.9473684210526315	0.9473684210526315	0.9473684210526315	7147
111	765	22	1	30	23	52	0.9565217391304348	0.4230769230769231	0.5866666666666667	7391
112	792	3	6	0	9	3	0.3333333333333333	1.0	0.5	12849
113	798	26	2	4	28	30	0.9285714285714286	0.8666666666666667	0.896551724137931	7924
114	802	0	0	0	0	0	NULL	NULL	NULL	5907
115	808	24	4	0	28	24	0.8571428571428571	1.0	0.923076923076923	4743
116	815	4	1	0	5	4	0.8	1.0	0.888888888888889	5769
117	818	5	1	0	6	5	0.8333333333333334	1.0	0.9090909090909091	7756
118	825	8	4	3	12	11	0.6666666666666666	0.7272727272727273	0.6956521739130435	5066
119	831	1	3	5	4	6	0.25	0.16666666666666666	0.2	8743
120	835	17	2	0	19	17	0.8947368421052632	1.0	0.9444444444444444	7696
121	851	3	1	0	4	3	0.75	1.0	0.8571428571428571	7830
122	857	3	1	0	4	3	0.75	1.0	0.8571428571428571	2525
123	868	6	1	3	7	9	0.8571428571428571	0.6666666666666666	0.75	8501
124	874	4	1	0	5	4	0.8	1.0	0.888888888888889	8283
125	884	18	2	0	20	18	0.9	1.0	0.9473684210526316	4520
126	890	6	0	0	6	6	1.0	1.0	1.0	7155
127	896	0	0	0	0	0	NULL	NULL	NULL	1378
128	900	2	0	0	2	2	1.0	1.0	1.0	12242
129	917	1	4	3	5	4	0.2	0.25	0.22222222222222224	8022
130	923	55	4	27	59	82	0.9322033898305084	0.6707317073170732	0.7801418439716312	5628
131	929	7	6	3	13	10	0.5384615384615384	0.7	0.608695652173913	8349
132	933	17	4	1	21	18	0.8095238095238095	0.9444444444444444	0.8717948717948718	9991
