data_package_id	publication_doi
1146	10.1093/sysbio/sys024
1158	10.1111/j.1365-294x.2011.05357.x
1175	10.1111/j.1558-5646.2012.01591.x
1179	10.1111/j.1755-0998.2012.03135.x
1185	10.1371/journal.pone.0029674
1191	10.1111/j.1755-0998.2011.03106.x
1195	10.1098/rspb.2010.2512
1201	10.1111/j.1365-294x.2012.05513.x
1207	10.1111/j.1420-9101.2012.02463.x
1218	10.1093/molbev/msr098
1224	10.1038/hdy.2011.94
1228	10.1111/j.1752-4571.2011.00237.x
1234	10.1093/gbe/evr036
1250	10.1111/j.1365-294x.2011.05365.x
1257	10.1086/664627
1261	10.1111/j.1752-4571.2012.00241.x
1273	 10.1086/662669
1277	10.1111/j.1558-5646.2011.01535.x
1283	10.1136/bmjopen-2011-000430
1292	10.1111/j.1365-294x.2011.05328.x
1293	10.1111/j.1365-294x.2011.05332.x
1310	10.1111/j.1365-294x.2012.05515.x
1316	10.1111/j.1365-294x.2012.05518.x
1326	10.1111/j.1755-0998.2012.03138.x
1332	10.1093/sysbio/syr130
1338	10.1038/hdy.2011.120
1349	10.1111/j.1558-5646.2011.01515.x
1359	10.1093/sysbio/sys034
1365	10.1111/j.1365-294x.2012.05595.x
1371	10.1111/j.1365-294x.2012.05592.x
1375	10.1111/j.1752-4571.2012.00238.x
1381	10.1111/j.1558-5646.2012.01678.x
1388	10.1111/j.1365-294x.2012.05534.x
1392	10.1111/j.1365-294x.2012.05540.x
1398	10.1111/j.1365-294x.2012.05531.x
1404	10.1111/j.1365-294x.2012.05596.x
1414	10.1111/j.1752-4571.2012.00261.x
1420	10.1111/j.1365-294x.2012.05532.x
1431	10.1111/j.1420-9101.2012.02492.x
1437	10.1111/j.1755-0998.2012.03154.x
1441	10.1111/j.1420-9101.2012.02531.x
1447	10.1038/hdy.2012.1
1453	10.1111/j.1365-294x.2012.05578.x
1457	10.1111/j.1558-5646.2012.01700.x
1463	10.1086/665653
1469	10.1086/665647
1473	10.1111/j.1365-294x.2011.05317.x
1480	10.1111/j.1365-294x.2011.05407.x
1502	10.1111/j.1558-5646.2012.01705.x
1508	10.1111/j.1558-5646.2011.01554.x
1519	10.1111/j.1558-5646.2012.01571.x
